10	( 1 2 3 4 )	( 9 11 13 10 )	10.75	86834.0868442	0.0000868	39496	9874
20	( 5 6 7 8 )	( 24 24 28 26 )	25.5	239823.8648053	0.0002398	16332	4083
40	( 9 10 11 12 )	( 56 50 50 52 )	52.0	588770.3142174	0.0005888	6696	1674
80	( 13 14 15 16 )	( 108 99 104 114 )	106.25	1441764.6549708	0.0014418	2736	684
100	( 17 18 19 20 )	( 136 129 137 132 )	133.5	1922048.8859223	0.0019220	2060	515
200	( 21 22 23 24 )	( 267 269 269 267 )	268.0	4501023.4524887	0.0045010	884	221
400	( 25 26 27 28 )	( 540 518 538 526 )	530.5	10379317.3437500	0.0103793	384	96
800	( 29 30 31 32 )	( 1063 1058 1076 1049 )	1061.5	23870688.3231707	0.0238707	164	41
1000	( 33 34 35 36 )	( 1300 1313 1328 1344 )	1321.25	31055586.9765625	0.0310556	128	32
2000	( 37 38 39 40 )	( 2699 2654 2652 2677 )	2670.5	70849332.6607143	0.0708493	56	14
4000	( 41 42 43 44 )	( 5360 5315 5340 5368 )	5345.75	158020386.9166667	0.1580204	24	6
8000	( 45 46 47 48 )	( 10705 10670 10662 10757 )	10698.5	350134980.8750000	0.3501350	8	2
10000	( 49 50 51 52 )	( 13301 13340 13287 13311 )	13309.75	449982311.7500000	0.4499823	8	2
20000	( 53 54 55 56 )	( 26667 26826 26673 26670 )	26709.0	988616602.7500000	0.9886166	4	1
40000	( 57 58 59 60 )	( 53415 53446 53242 53319 )	53355.5	2182055890.5000000	2.1820559	4	1
80000	( 61 62 63 64 )	( 106914 106633 106586 106554 )	106671.75	4804939350.2500000	4.8049394	4	1
100000	( 65 66 67 68 )	( 133395 133214 133524 133463 )	133399.0	6218722553.5000000	6.2187226	4	1
